intercept,r13_lag,r_on,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
-0.004725726,-4.298176037,4.986792567,-0.757237579,1.776193873,2.823248449,-0.433860235,2.004258061,0.855493821,-2.562812555,-0.195952683,-0.48391945,2.412386622,0.124692992,3.634195896
-0.042280121,-4.269137746,4.969548871,-0.775901326,1.785175114,2.829428306,-0.426746904,2.005114691,0.879830608,-2.570842094,-0.189650666,-0.486934771,2.393686733,0.147081947,3.640893427
-0.050232245,-4.272248662,4.966569108,-0.778228188,1.7863515,2.832592395,-0.433114715,2.00274161,0.872688618,-2.562760669,-0.185799186,-0.482805432,2.392786754,0.151188851,3.646955713
-0.040968299,-4.269178559,4.95379581,-0.784342871,1.778322211,2.825440272,-0.420905337,1.999547333,0.868031315,-2.565259505,-0.190832167,-0.480585599,2.375283612,0.154155394,3.647692737
-0.095792981,-4.256641098,4.943568572,-0.781398305,1.838975402,2.808208491,-0.471020331,1.985384808,0.8788447,-2.593656996,-0.182062658,-0.452903292,2.407292635,0.161093346,3.659433853
-0.022891229,-4.218733811,4.974481563,-0.732804874,1.83287293,2.799415422,-0.533271403,1.975415367,0.923808989,-2.610357992,-0.115961103,-0.468788484,2.432493168,0.035667253,3.624110729
-0.056929328,-4.203421968,4.960948725,-0.739986641,1.837314864,2.785511398,-0.512530118,2.00850882,0.893262205,-2.591356473,-0.082254968,-0.453472533,2.4159682,-0.000994355,3.604810402
-0.019313765,-4.157470564,4.938606156,-0.72812918,1.841554834,2.78437545,-0.515922983,2.006803039,0.951743534,-2.601983358,-0.094790503,-0.479797142,2.446174318,0.039881808,3.617507751
-0.031893999,-4.154286433,4.935741534,-0.724459684,1.849249462,2.776369996,-0.523630141,2.006048854,0.944331115,-2.602594024,-0.094640572,-0.478456116,2.442201862,0.036278741,3.615233321
-0.038459623,-4.152497051,4.930852916,-0.721539835,1.847330313,2.776617347,-0.524612736,2.007598829,0.946091578,-2.604749829,-0.093281517,-0.483115317,2.442861017,0.032879781,3.615603978
-0.014139944,-4.141820167,4.903615814,-0.72198343,1.817586018,2.765752828,-0.52379867,2.008114904,0.953708508,-2.613740054,-0.092246148,-0.491271397,2.443612347,0.017811841,3.628479661
0.085912347,-4.238756329,4.877651908,-0.728759683,1.827283978,2.71549479,-0.386457555,2.08760985,0.920272331,-2.617928956,-0.190969836,-0.442956292,2.573163317,-0.026314563,3.662648329
0.106772658,-4.235886076,4.867236387,-0.737736121,1.794714024,2.712337203,-0.386145709,2.070006893,0.922061686,-2.621129941,-0.192570343,-0.435671457,2.559710137,-0.016734317,3.65488631
0.079892421,-4.224056795,4.831944996,-0.733676925,1.744403167,2.77146482,-0.325422893,2.159749243,0.831313847,-2.618389537,-0.155841917,-0.433669784,2.54986799,-0.027571111,3.680210647
0.007425076,-4.228386815,4.953566499,-0.805381146,1.583267388,2.782563898,-0.419304208,2.241293869,0.762081436,-2.623841203,-0.139670496,-0.390428815,2.56976233,-0.001326421,3.69838777
-0.071209475,-4.220502105,5.004513831,-0.918508884,1.552686313,2.777055564,-0.350175474,2.283424139,0.706220562,-2.53479834,-0.190523632,-0.430484713,2.412929153,0.065909041,3.528903024
-0.150280042,-4.244677871,4.986567422,-0.933209466,1.56589676,2.787315457,-0.441804262,2.294730686,0.731644493,-2.555652386,-0.120418437,-0.496607394,2.403239564,0.112746705,3.523465921
-0.092044743,-4.178122003,5.050565368,-0.893674482,1.506437495,2.718944452,-0.487654507,2.372686496,0.69546919,-2.674078834,-0.183378641,-0.56272088,2.410286596,0.096358113,3.550443048
-0.161923725,-4.11307013,5.05199579,-0.838283543,1.485877239,2.69277355,-0.47870331,2.390399603,0.7294494,-2.774014416,-0.246358693,-0.561442187,2.373957637,0.116665141,3.554436713
-0.158369988,-4.098956882,5.05323835,-0.852996614,1.488603205,2.69948535,-0.46685711,2.399946524,0.717644048,-2.773339407,-0.245545924,-0.555426072,2.374115668,0.124774076,3.566359206
-0.061065173,-4.195738194,5.068258636,-0.856739773,1.55247694,2.717463742,-0.581286871,2.437274724,0.76552068,-2.742313901,-0.192393012,-0.61371565,2.697628564,0.208005742,3.481848239
-0.011923903,-4.292908898,4.984841691,-0.822628234,1.607889462,2.752600702,-0.470621549,2.503741348,0.700354716,-2.766349016,-0.202543041,-0.574603953,2.729942529,0.232472414,3.489145926
0.00621871,-4.289544738,4.98203674,-0.810752639,1.595267643,2.750002409,-0.473109781,2.494951549,0.70356406,-2.76255322,-0.192543237,-0.5807157,2.727347481,0.22940478,3.488933968
0.009237833,-4.286612672,5.001440982,-0.803078579,1.600108199,2.751922953,-0.473198654,2.501029239,0.696662486,-2.756896538,-0.203544714,-0.563064586,2.719485994,0.22649393,3.502082592
0.021318744,-4.294503589,4.978112574,-0.802165811,1.603653505,2.731796786,-0.474597722,2.514259558,0.680352572,-2.760127981,-0.208656106,-0.568644887,2.731524471,0.220569525,3.499822634
0.032237171,-4.353893393,4.989762536,-0.840331888,1.616677852,2.754443992,-0.434384414,2.483687634,0.61869472,-2.750525549,-0.177978076,-0.626927761,2.704461028,0.247537287,3.476390848
-0.066558253,-4.328541473,4.933778408,-0.857308132,1.517616999,2.830838013,-0.339177809,2.295222042,0.523469151,-2.761664426,-0.191958198,-0.711245594,2.709230606,0.338124195,3.457426359
-0.106617032,-4.336867329,4.937644306,-0.874489725,1.552347359,2.815616746,-0.347441428,2.316042283,0.499680985,-2.754422947,-0.192871263,-0.696708009,2.696621067,0.368412469,3.439900816
-0.099824328,-4.344095273,4.935656502,-0.874567928,1.559983477,2.811534692,-0.336116204,2.323396894,0.498774195,-2.743455657,-0.190997844,-0.696777337,2.698877416,0.365181423,3.435808488
-0.063790521,-4.327252455,4.885981659,-0.880727172,1.567773638,2.787497927,-0.300295557,2.330553494,0.586267307,-2.766560722,-0.253164471,-0.675133424,2.765220772,0.337941667,3.436071178
-0.051965696,-4.322180455,4.892875389,-0.882103667,1.567766133,2.790676547,-0.294488749,2.332214807,0.58883648,-2.762880839,-0.250026862,-0.674292887,2.763046543,0.337177801,3.439086266
-0.00986657,-4.315403866,4.905050648,-0.891300077,1.578728739,2.758635271,-0.320736232,2.328245035,0.61577567,-2.80362702,-0.267011509,-0.661267768,2.761032473,0.32605189,3.451055734
-0.030302268,-4.286019371,4.916700635,-0.870467102,1.554077781,2.768158464,-0.328183758,2.34001651,0.627056535,-2.817164228,-0.265897211,-0.682658424,2.768439574,0.321378192,3.450194375
-0.011935459,-4.281846893,4.911157147,-0.872511954,1.563635491,2.766341105,-0.314572213,2.341946988,0.63096176,-2.818889167,-0.265914038,-0.685294179,2.767012563,0.309998185,3.443863331
-0.049854004,-4.291933842,4.925374298,-0.85595458,1.55040107,2.781300712,-0.330406349,2.349361429,0.574293775,-2.82517051,-0.263467223,-0.697688204,2.762288038,0.270103332,3.461274741
-0.068042855,-4.289528802,4.924259076,-0.859381428,1.585270753,2.773016484,-0.325372607,2.347189006,0.590097244,-2.825576823,-0.265181718,-0.687620259,2.758163764,0.26861567,3.457009544
-0.188204836,-4.302411788,4.944796555,-0.794042901,1.701475617,2.853472793,-0.396052858,2.391441592,0.723343117,-2.877897717,-0.237615398,-0.714324682,2.833948809,0.2261415,3.471393469
-0.170308182,-4.311868898,4.902367764,-0.796693273,1.695814934,2.829483642,-0.382443294,2.400814075,0.727617046,-2.871055318,-0.242291717,-0.657371559,2.782629563,0.246613479,3.468260364
-0.187702701,-4.314577205,4.904587821,-0.791920982,1.691620459,2.824633366,-0.389201817,2.394532135,0.724260199,-2.871125598,-0.245591567,-0.660228426,2.78123004,0.243962117,3.469471769
-0.178571288,-4.308627026,4.897797242,-0.786923523,1.674760571,2.844765581,-0.391468084,2.406402907,0.708691987,-2.867781712,-0.243267639,-0.673443752,2.762515348,0.255202652,3.477295265
